u,v,key,name,highway,length,maxspeed,lanes,oneway,geometry_wkt
267193307,621248352,0,,secondary,23.604,,,True,"LINESTRING (77.1893085 28.5867939, 77.1892584 28.5867642, 77.1892029 28.5867432, 77.1891439 28.5867317, 77.1890835 28.5867301)"
267193347,6884602698,0,Shri Vinayak Mandir Marg,tertiary,12.536,,,False,"LINESTRING (77.1988316 28.5797443, 77.1988348 28.5796316)"
267193347,12874712035,0,Brigadier Hoshiar Singh Marg,tertiary,7.908,,,True,"LINESTRING (77.1988316 28.5797443, 77.1989125 28.5797475)"
267193347,7222087504,0,Palika Avas,residential,67.786,,,False,"LINESTRING (77.1988316 28.5797443, 77.1988127 28.5799784, 77.19879 28.5803528)"
267193355,10657610045,0,,residential,7.987,,,False,"LINESTRING (77.1904958 28.5863858, 77.1905515 28.5864384)"
267193355,3731950243,0,,residential,228.513,,,False,"LINESTRING (77.1904958 28.5863858, 77.190296 28.5860613, 77.1902074 28.5859359, 77.1898603 28.5855129, 77.1893399 28.5850267, 77.1890428 28.5847934)"
267193355,267193307,0,Satya Marg,secondary,126.464,,,True,"LINESTRING (77.1904958 28.5863858, 77.1896603 28.5867532, 77.1895847 28.5867839, 77.1895216 28.5867951, 77.1894425 28.5867957, 77.1893085 28.5867939)"
267193361,2432410424,0,,residential,50.531,,,False,"LINESTRING (77.1877209 28.5841246, 77.1881975 28.5843017)"
267193361,309864520,0,,residential,159.312,,,False,"LINESTRING (77.1877209 28.5841246, 77.1873377 28.5840345, 77.1872386 28.5840091, 77.1869921 28.5839459, 77.1868766 28.5839088, 77.1867878 28.5838432, 77.186734 28.5837485, 77.1865725 28.5833188)"
267193361,563659525,0,,residential,149.526,,,False,"LINESTRING (77.1877209 28.5841246, 77.187512 28.5846288, 77.1872446 28.5852743, 77.1871974 28.5853883)"
267193383,563661888,0,San Martin Marg,tertiary,100.976,,,True,"LINESTRING (77.1741939 28.5909826, 77.1733126 28.5905074)"
267193383,12743986833,0,,residential,9.557,,,True,"LINESTRING (77.1741939 28.5909826, 77.1741389 28.5910537)"
267193390,6998127063,0,,residential,9.208,,,False,"LINESTRING (77.177241 28.5899279, 77.1771771 28.5899888)"
